~iteration~,metric_loss,total_loss
0,0.17323847115039825,0.17323847115039825
50,0.19169211387634277,0.19169211387634277
100,0.18302781879901886,0.18302781879901886
150,0.21659399569034576,0.21659399569034576
173,0.1533518135547638,0.1533518135547638
223,0.14100582897663116,0.14100582897663116
273,0.1781087964773178,0.1781087964773178
323,0.1629510074853897,0.1629510074853897
346,0.18513350188732147,0.18513350188732147
396,0.19787240028381348,0.19787240028381348
446,0.18079815804958344,0.18079815804958344
496,0.1841808259487152,0.1841808259487152
519,0.1532348394393921,0.1532348394393921
569,0.17420510947704315,0.17420510947704315
619,0.18300656974315643,0.18300656974315643
669,0.1536385416984558,0.1536385416984558
0,14.046557426452637,14.046557426452637
50,13.00967025756836,13.00967025756836
100,13.570114135742188,13.570114135742188
150,11.651334762573242,11.651334762573242
692,0.196738138794899,0.196738138794899
742,0.14632317423820496,0.14632317423820496
792,0.1977040022611618,0.1977040022611618
842,0.1699860394001007,0.1699860394001007
173,12.155470848083496,12.155470848083496
223,12.448614120483398,12.448614120483398
273,9.240835189819336,9.240835189819336
323,9.60017204284668,9.60017204284668
865,0.18366782367229462,0.18366782367229462
915,0.158270001411438,0.158270001411438
965,0.2087734043598175,0.2087734043598175
1015,0.18941597640514374,0.18941597640514374
346,9.923629760742188,9.923629760742188
396,11.05656623840332,11.05656623840332
446,6.446863174438477,6.446863174438477
496,9.864986419677734,9.864986419677734
1038,0.16324594616889954,0.16324594616889954
1088,0.15482808649539948,0.15482808649539948
1138,0.15271194279193878,0.15271194279193878
1188,0.16625170409679413,0.16625170409679413
519,8.58608627319336,8.58608627319336
569,8.618871688842773,8.618871688842773
619,7.397231101989746,7.397231101989746
669,9.405860900878906,9.405860900878906
1211,0.14393775165081024,0.14393775165081024
1261,0.20167990028858185,0.20167990028858185
1311,0.15260741114616394,0.15260741114616394
1361,0.23121505975723267,0.23121505975723267
692,7.906186103820801,7.906186103820801
742,6.997495174407959,6.997495174407959
792,6.026155471801758,6.026155471801758
842,8.855730056762695,8.855730056762695
1384,0.14215581119060516,0.14215581119060516
1434,0.1817217767238617,0.1817217767238617
1484,0.16354900598526,0.16354900598526
1534,0.13558349013328552,0.13558349013328552
865,5.101258277893066,5.101258277893066
915,9.074441909790039,9.074441909790039
965,7.857873439788818,7.857873439788818
1015,4.064847946166992,4.064847946166992
