~iteration~,p,power
0,2,1
50,2,1
100,2,1
150,2,1
200,2,1
250,2,1
0,2,1
50,2,1
100,2,1
150,2,1
200,2,1
250,2,1
0,2,1
50,2,1
100,2,1
150,2,1
200,2,1
250,2,1
